Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_3,Healthcare_1,Helthcare_2,Shops_1,Price,Ecology_2_B,Ecology_3_B,Shops_2_B
11809,27,3.0,115.02731063267048,32.781260192155735,10.0,4,10.0,2014,0.07542368,11,0,900.0,0,0,305018.8710894109,True,True,True
3013,22,1.0,39.83252387029935,23.16922266530641,8.0,7,8.0,1966,0.118537385,30,1,1183.0,1,0,177734.55340714107,True,True,True
8215,1,3.0,78.34221506646014,47.67197161462768,10.0,2,17.0,1988,0.025609157,33,0,240.0,3,1,282078.7208500433,True,True,True
2352,1,1.0,40.40990691527505,32.781260192155735,1.0,10,22.0,1977,0.007122317,1,0,900.0,0,1,168106.00763001086,True,True,True
13866,94,2.0,64.28506724828556,38.56251674804049,9.0,16,16.0,1972,0.282797669,33,2,900.0,0,6,343995.10296205425,True,True,True
5804,99,3.0,62.52846461595018,47.10383298933234,6.0,9,9.0,1972,0.012338886,35,1,900.0,2,4,161044.94413780785,True,True,True
8864,44,1.0,33.938750019723045,21.77293026842016,9.0,1,12.0,1968,0.232205084,24,1,80.0,0,3,142402.73927153,True,True,True
13072,59,2.0,50.3918142242363,32.89325633384121,8.0,8,17.0,1986,0.019508796,37,11,176.0,5,5,326174.1751906913,True,True,True
9951,1,1.0,46.88789179234404,44.62813153648891,1.0,12,20.0,1977,0.007122317,1,0,900.0,0,1,160400.40173203114,True,True,True
8094,6,3.0,79.86747667320513,75.08512538271577,1.0,3,17.0,2014,0.243204519,5,0,540.0,0,0,194756.02394527625,True,True,True
535,2,3.0,74.19904875578756,44.73588895764597,10.0,5,14.0,2008,0.035145267,42,3,900.0,0,3,512797.3734005682,True,True,True
16755,88,2.0,53.97514357835883,34.15358375347871,8.0,2,12.0,1978,0.127375905,43,3,900.0,3,9,253124.0053320823,True,True,True
898,93,1.0,47.56444337054507,23.574422811627468,13.0,9,24.0,2012,0.050900058,43,1,30.0,2,3,199556.8659052025,True,True,True
3526,90,2.0,43.87102586277203,26.11438626655661,5.0,5,9.0,1969,0.265088676,37,0,900.0,3,2,213001.5152692308,True,True,True
191,36,3.0,81.99479026880738,43.68879835806401,10.0,2,22.0,2008,0.08761909,8,5,900.0,1,0,481360.3607276174,True,True,True
4328,96,1.0,36.67340725700864,16.285522177555233,9.0,3,12.0,2003,0.041116354,53,4,900.0,1,4,168143.3456997873,True,True,True
11942,48,1.0,44.825250190495375,24.240045212498355,8.0,7,12.0,1981,0.041124634,46,5,900.0,1,10,207633.6602870756,True,True,True
4581,1,1.0,47.582479895571225,32.781260192155735,1.0,16,16.0,1977,0.007122317,1,0,900.0,0,1,128803.59381001432,True,True,True
8768,63,1.0,50.97489077227677,32.781260192155735,1.0,7,16.0,2018,0.23861713,26,6,705.0,3,6,260328.41337559265,True,True,True
1550,7,3.0,86.32636026251232,46.09724096684023,10.0,3,17.0,1986,0.0,23,4,900.0,2,6,421803.7487527664,True,True,True
13427,103,1.0,38.174327931544674,23.12301444721017,9.0,6,12.0,1969,0.014423114,19,4,900.0,0,3,194273.0445550664,True,True,True
1403,67,2.0,52.96691455467195,33.79333603319955,8.0,13,14.0,1985,0.0077202819999999,38,2,900.0,0,4,235998.2077440021,True,True,True
1924,24,1.0,34.127058575140786,19.435737708983076,6.0,5,5.0,1960,0.111627393,50,8,900.0,2,3,173155.77077902228,True,True,True
5273,23,2.0,53.19964976411252,32.45905229638281,9.0,3,3.0,2019,0.005767451,1,0,900.0,0,0,94061.94357934452,True,True,True
5931,23,1.0,43.03339773536077,32.781260192155735,1.0,3,4.0,1977,0.014072961,2,0,900.0,0,0,72659.97157533352,True,True,True
13084,38,1.0,47.83762991944312,22.2977391797552,1.0,21,24.0,2014,0.060753049,15,2,520.0,0,7,233717.2987088421,True,True,True
3876,100,4.0,104.76902158523696,79.31665044874494,8.0,4,8.0,1960,0.200146802,23,8,770.0,2,0,600903.8285622502,True,True,True
3961,23,2.0,65.8329536451764,32.781260192155735,1.0,11,17.0,1977,0.075778755,6,3,900.0,0,2,193398.61374915,True,True,True
57,35,2.0,46.76017688460839,29.82914715605585,6.0,4,9.0,1974,0.089039719,33,5,900.0,0,11,203384.3280258776,True,True,True
7679,23,2.0,55.521797407031706,32.781260192155735,0.0,3,4.0,1977,0.034656082,0,0,900.0,0,0,93217.7529240404,True,True,True
10954,119,1.0,32.99499423527054,17.717022189890667,5.0,4,5.0,1963,0.033493708,66,1,1322.0,3,8,158611.39437663936,True,True,True
